,greV,greQ,greA,cgpa,univName
0,150.0,166.0,3.0,4.0,Ohio State University
1,157.0,151.0,5.5,3.57,Texas A&M University
2,155.0,167.0,4.0,3.66,"University Of California, Irvine"
3,161.0,157.0,4.0,3.1,Boston University
4,154.0,170.0,4.0,3.38,Oregon State University
5,162.0,164.0,5.5,3.81,Stanford University
7,165.0,162.0,5.5,3.65,"University Of Texas, Austin"
8,165.0,162.0,5.5,3.65,Columbia University
9,165.0,162.0,5.5,3.65,"University Of Michigan, Ann Arbor"
10,165.0,162.0,5.5,3.65,University Of Virginia
11,165.0,162.0,5.5,3.65,Carnegie Mellon University
12,157.0,161.0,4.0,3.2,"University Of Texas, Dallas"
13,169.0,166.0,4.0,3.74,New York University
14,165.0,167.0,5.0,3.63,University Of Southern California
15,151.0,165.0,4.5,3.98,Northeastern University
16,163.0,160.0,4.5,3.16,Tufts University
17,160.0,167.0,4.0,3.74,Iowa State University
18,143.0,142.0,0.0,2.9,Columbia University
19,162.0,160.0,0.0,3.4,"North Carolina State University, Raleigh"
20,167.0,170.0,5.5,3.62,University Of Southern California
21,164.0,164.0,4.5,3.15,American University
22,156.0,152.0,4.5,3.69,"North Carolina State University, Raleigh"
23,158.0,169.0,4.0,3.46,University Of Southern California
25,161.0,154.0,3.5,3.69,"University Of California, Los Angeles"
26,155.0,158.0,4.0,3.28,"University Of California, Irvine"
27,170.0,170.0,0.0,4.0,Columbia University
28,170.0,170.0,0.0,4.0,Columbia University
29,159.0,162.0,4.5,3.68,Stanford University
30,165.0,163.0,5.0,3.52,Princeton University
31,148.0,168.0,3.5,3.44,"University Of Wisconsin, Madison"
32,153.0,167.0,3.0,3.6,University Of Southern California
33,152.0,169.0,3.5,3.45,Purdue University
34,161.0,166.0,3.5,3.88,Northwestern University
35,161.0,166.0,3.5,3.88,"University Of Colorado, Boulder"
36,160.0,157.0,4.0,2.0,Columbia University
37,152.0,162.0,4.0,3.76,Northeastern University
38,170.0,163.0,6.0,3.84,University Of Notre Dame
39,153.0,145.0,3.5,3.2,Clemson University
40,158.0,170.0,4.0,8.48,Northeastern University
41,163.0,163.0,5.0,3.68,Stanford University
42,164.0,164.0,4.0,3.94,"University Of Wisconsin, Madison"
43,162.0,160.0,5.0,3.7,Princeton University
44,158.0,161.0,4.5,3.6,"University Of Michigan, Ann Arbor"
45,161.0,168.0,4.0,3.17,University Of Southern California
46,161.0,158.0,4.0,3.1,Columbia University
47,159.0,156.0,5.0,3.76,University Of Cincinnati
48,155.0,147.0,3.5,3.67,University Of South Carolina
49,170.0,167.0,4.5,3.6,Columbia University
50,159.0,158.0,5.0,3.41,University Of South Florida
51,161.0,167.0,4.0,3.3,University Of Southern California
52,159.0,156.0,5.5,3.12,University Of South Florida
53,160.0,156.0,4.0,3.51,"University Of Minnesota, Twin Cities"
54,154.0,157.0,4.5,3.62,Emory University
55,165.0,170.0,5.0,4.0,New York University
56,165.0,170.0,5.0,4.0,Columbia University
57,167.0,170.0,4.5,3.72,Columbia University
58,155.0,150.0,4.0,3.56,University Of Cincinnati
59,154.0,159.0,4.0,3.12,University Of Southern California
60,160.0,164.0,5.5,3.6,"University Of Washington, Seattle"
61,162.0,153.0,5.0,3.75,George Washington University
63,152.0,165.0,3.5,3.6,"Arizona State University, Tempe"
64,162.0,153.0,5.0,3.75,Boston University
65,158.0,165.0,5.0,3.63,University Of Pennsylvania
