,Index,Rank,Name,City,State,PubOrPriv,UndergradPop,StudentPop,NetPrice,AverageGrantAid,TotalAnnualCost,AlumniSalary,AcceptanceRate,SATLower,SATUpper,ACTLower,ACTUpper,Website,Size,SizeNum,Location,LocationNum,pubOrPrivNum,Cost
0,0,1.0,Harvard University,Cambridge,MA,Private,13844.0,31120.0,14327.0,49870.0,69600.0,146800.0,5.0,1460.0,1590.0,32.0,35.0,www.harvard.edu,Large,2.0,Northeast,0.0,1.0,4.0
1,1,2.0,Stanford University,Stanford,CA,Private,8402.0,17534.0,13261.0,50134.0,69109.0,145200.0,5.0,1390.0,1540.0,32.0,35.0,www.stanford.edu,Large,2.0,West,3.0,1.0,4.0
2,2,3.0,Yale University,New Haven,CT,Private,6483.0,12974.0,18627.0,50897.0,71290.0,138300.0,7.0,1460.0,1580.0,32.0,35.0,www.yale.edu,Medium,1.0,Northeast,0.0,1.0,4.0
4,4,5.0,Princeton University,Princeton,NJ,Private,5659.0,8273.0,9327.0,48088.0,66150.0,139400.0,6.0,1430.0,1570.0,31.0,35.0,www.princeton.edu,Medium,1.0,Northeast,0.0,1.0,4.0
5,5,6.0,University Of Pennsylvania,Philadelphia,PA,Private,13437.0,25367.0,24242.0,44801.0,71715.0,133900.0,9.0,1420.0,1560.0,32.0,35.0,www.upenn.edu,Large,2.0,Northeast,0.0,1.0,4.0
6,6,7.0,Brown University,Providence,RI,Private,7390.0,10095.0,30205.0,42455.0,71050.0,127600.0,8.0,1405.0,1570.0,31.0,35.0,www.brown.edu,Medium,1.0,Northeast,0.0,1.0,4.0
8,8,9.0,Duke University,Durham,NC,Private,7184.0,16130.0,35737.0,47836.0,71764.0,132100.0,10.0,1380.0,1540.0,31.0,35.0,www.duke.edu,Large,2.0,South,2.0,1.0,4.0
10,10,11.0,Cornell University,Ithaca,NY,Private,14774.0,23016.0,31230.0,36164.0,70321.0,128200.0,13.0,1390.0,1550.0,31.0,34.0,www.cornell.edu,Large,2.0,Northeast,0.0,1.0,4.0
12,12,13.0,"University Of California, Berkeley",Berkeley,CA,Public,31133.0,41891.0,15859.0,18319.0,65003.0,131800.0,17.0,1260.0,1480.0,30.0,34.0,www.berkeley.edu,Large,2.0,West,3.0,0.0,4.0
13,13,14.0,Columbia University,New York,NY,Private,8523.0,30454.0,24231.0,49185.0,74199.0,126800.0,7.0,1410.0,1570.0,31.0,34.0,www.columbia.edu,Large,2.0,Northeast,0.0,1.0,4.0
14,14,15.0,Georgetown University,Washington,DC,Private,8194.0,19005.0,30107.0,41893.0,71580.0,122200.0,16.0,1350.0,1520.0,30.0,34.0,www.georgetown.edu,Large,2.0,South,2.0,1.0,4.0
15,15,16.0,University Of Chicago,Chicago,IL,Private,6915.0,16227.0,25455.0,37883.0,75735.0,114200.0,9.0,1480.0,1580.0,32.0,35.0,www.uchicago.edu,Large,2.0,Midwest,1.0,1.0,4.0
16,16,17.0,Northwestern University,Evanston,IL,Private,10163.0,22008.0,24047.0,44247.0,72980.0,115400.0,9.0,1420.0,1560.0,32.0,34.0,www.northwestern.edu,Large,2.0,Midwest,1.0,1.0,4.0
17,17,18.0,University Of Notre Dame,Notre Dame,IN,Private,8664.0,12467.0,28768.0,39590.0,69395.0,130500.0,19.0,1370.0,1520.0,32.0,34.0,www.nd.edu,Medium,1.0,Midwest,1.0,1.0,4.0
19,19,20.0,"University Of Michigan, Ann Arbor",Ann Arbor,MI,Public,29773.0,46002.0,14860.0,18751.0,62176.0,112200.0,27.0,1330.0,1500.0,30.0,33.0,www.umich.edu,Large,2.0,Midwest,1.0,0.0,4.0
20,20,21.0,Rice University,Houston,TX,Private,4036.0,7022.0,20237.0,36387.0,63158.0,129500.0,16.0,1490.0,1580.0,33.0,35.0,www.rice.edu,Medium,1.0,South,2.0,1.0,4.0
21,21,22.0,Johns Hopkins University,Baltimore,MD,Private,7825.0,25151.0,33586.0,38542.0,69863.0,117100.0,13.0,1450.0,1570.0,33.0,35.0,www.jhu.edu,Large,2.0,South,2.0,1.0,4.0
24,24,27.0,Vanderbilt University,Nashville,TN,Private,7006.0,12592.0,19959.0,41359.0,67392.0,119100.0,11.0,1440.0,1570.0,32.0,35.0,www.vanderbilt.edu,Medium,1.0,South,2.0,1.0,4.0
27,27,30.0,University Of Southern California,Los Angeles,CA,Private,20582.0,45687.0,30232.0,36686.0,72209.0,120600.0,16.0,1300.0,1500.0,30.0,34.0,www.usc.edu,Large,2.0,West,3.0,1.0,4.0
28,28,31.0,Washington University In St. Louis,St. Louis,MO,Private,8533.0,15303.0,28540.0,41977.0,71975.0,114900.0,16.0,1470.0,1570.0,32.0,34.0,www.wustl.edu,Large,2.0,Midwest,1.0,1.0,4.0
29,29,33.0,University Of Virginia,Charlottesville,VA,Public,18432.0,24360.0,20547.0,21171.0,62633.0,117500.0,27.0,1310.0,1500.0,29.0,33.0,www.virginia.edu,Large,2.0,South,2.0,0.0,4.0
30,30,34.0,Tufts University,Medford,MA,Private,5960.0,11449.0,32620.0,38605.0,70600.0,118100.0,15.0,1410.0,1540.0,31.0,34.0,www.tufts.edu,Medium,1.0,Northeast,0.0,1.0,4.0
31,31,35.0,New York University,New York,NY,Private,30252.0,51123.0,40336.0,31542.0,71790.0,117700.0,28.0,1290.0,1490.0,29.0,33.0,www.nyu.edu,Large,2.0,Northeast,0.0,1.0,4.0
33,33,37.0,Carnegie Mellon University,Pittsburgh,PA,Private,6941.0,13869.0,31102.0,38163.0,70094.0,136100.0,22.0,1430.0,1560.0,32.0,35.0,www.cmu.edu,Medium,1.0,Northeast,0.0,1.0,4.0
34,34,38.0,"University Of California, Los Angeles",Los Angeles,CA,Public,33148.0,44027.0,14309.0,20011.0,61915.0,116100.0,16.0,1220.0,1450.0,29.0,34.0,ucla.edu,Large,2.0,West,3.0,0.0,4.0
38,38,45.0,"University Of North Carolina, Chapel Hill",Chapel Hill,NC,Public,19429.0,29911.0,14163.0,17291.0,51152.0,100800.0,24.0,1270.0,1460.0,28.0,33.0,www.unc.edu,Large,2.0,South,2.0,0.0,3.0
46,46,55.0,Emory University,Atlanta,GA,Private,7859.0,14263.0,26760.0,38213.0,66950.0,110800.0,22.0,1350.0,1520.0,30.0,33.0,www.emory.edu,Medium,1.0,South,2.0,1.0,4.0
53,53,63.0,"University Of Maryland, College Park",College Park,MD,Public,32022.0,40521.0,18517.0,8955.0,49698.0,113400.0,45.0,1280.0,1470.0,29.0,33.0,www.umd.edu,Large,2.0,South,2.0,0.0,3.0
54,54,64.0,"University Of Washington, Seattle",Seattle,WA,Public,38781.0,46166.0,12899.0,14051.0,51159.0,112300.0,46.0,1190.0,1420.0,27.0,32.0,uw.edu,Large,2.0,West,3.0,0.0,3.0
58,58,68.0,"University Of Illinois, Urbana-Champaign",Champaign,IL,Public,35476.0,48216.0,18377.0,13595.0,46202.0,115300.0,62.0,1340.0,1500.0,26.0,32.0,illinois.edu,Large,2.0,Midwest,1.0,0.0,3.0
59,59,69.0,"University Of Wisconsin, Madison",Madison,WI,Public,33863.0,42977.0,19880.0,6733.0,49885.0,104400.0,54.0,1280.0,1450.0,27.0,31.0,www.wisc.edu,Large,2.0,Midwest,1.0,0.0,3.0
